idx,params_1,params_2,params_3,params_4,fitness_1,fitness_2,hypervolume,gen
0,5.0,16.0,13.0,2.0,7.96976536,290.0,154.5378279799999,1.0
1,5.0,14.0,2.0,2.0,8.40342284,160.0,154.5378279799999,1.0
2,4.0,14.0,13.0,2.0,8.05093236,270.0,154.5378279799999,1.0
3,5.0,18.0,2.0,2.0,8.23081198,200.0,154.5378279799999,1.0
0,5.0,16.0,13.0,2.0,7.96976536,290.0,154.5378279799999,2.0
1,5.0,16.0,13.0,2.0,7.96976536,290.0,154.5378279799999,2.0
2,5.0,14.0,2.0,2.0,8.40342284,160.0,154.5378279799999,2.0
3,5.0,14.0,2.0,2.0,8.40342284,160.0,154.5378279799999,2.0
0,5.0,16.0,13.0,2.0,7.96976536,290.0,154.5378279799999,3.0
1,5.0,16.0,13.0,2.0,7.96976536,290.0,154.5378279799999,3.0
2,5.0,14.0,2.0,2.0,8.40342284,160.0,154.5378279799999,3.0
3,5.0,14.0,2.0,2.0,8.40342284,160.0,154.5378279799999,3.0
0,5.0,16.0,13.0,2.0,7.96976536,290.0,187.10802626999995,4.0
1,5.0,16.0,13.0,2.0,7.96976536,290.0,187.10802626999995,4.0
2,5.0,14.0,1.0,2.0,8.57571443,150.0,187.10802626999995,4.0
3,5.0,14.0,2.0,2.0,8.40342284,160.0,187.10802626999995,4.0
0,5.0,1.0,13.0,2.0,8.34898831,140.0,223.22869049999986,5.0
1,5.0,16.0,17.0,2.0,7.86124271,330.0,223.22869049999986,5.0
2,5.0,16.0,13.0,2.0,7.96976536,290.0,223.22869049999986,5.0
3,5.0,16.0,13.0,2.0,7.96976536,290.0,223.22869049999986,5.0
0,5.0,1.0,13.0,2.0,8.34898831,140.0,282.91222910999977,6.0
1,5.0,1.0,13.0,2.0,8.34898831,140.0,282.91222910999977,6.0
2,5.0,20.0,17.0,2.0,7.6875281,370.0,282.91222910999977,6.0
3,5.0,16.0,13.0,2.0,7.96976536,290.0,282.91222910999977,6.0
0,5.0,1.0,13.0,2.0,8.34898831,140.0,289.49106930999983,7.0
1,5.0,1.0,13.0,2.0,8.34898831,140.0,289.49106930999983,7.0
2,5.0,20.0,17.0,2.0,7.6875281,370.0,289.49106930999983,7.0
3,5.0,1.0,17.0,2.0,8.16665246,180.0,289.49106930999983,7.0
0,5.0,1.0,13.0,2.0,8.34898831,140.0,289.49106930999983,8.0
1,5.0,1.0,13.0,2.0,8.34898831,140.0,289.49106930999983,8.0
2,5.0,20.0,17.0,2.0,7.6875281,370.0,289.49106930999983,8.0
3,5.0,20.0,17.0,2.0,7.6875281,370.0,289.49106930999983,8.0
0,5.0,20.0,17.0,2.0,7.6875281,370.0,1281.8465448399998,9.0
1,5.0,20.0,17.0,2.0,7.6875281,370.0,1281.8465448399998,9.0
2,5.0,1.0,1.0,2.0,12.12541894,20.0,1281.8465448399998,9.0
3,5.0,1.0,13.0,2.0,8.34898831,140.0,1281.8465448399998,9.0
0,5.0,20.0,17.0,2.0,7.6875281,370.0,1281.8465448399998,10.0
1,5.0,20.0,17.0,2.0,7.6875281,370.0,1281.8465448399998,10.0
2,5.0,1.0,1.0,2.0,12.12541894,20.0,1281.8465448399998,10.0
3,5.0,1.0,1.0,2.0,12.12541894,20.0,1281.8465448399998,10.0
