,0,1
"[5, 174, 109, 2]",6.61166376,2830.0
"[5, 200, 45, 1]",6.56537869,2470.0
"[5, 185, 24, 2]",6.60013584,2090.0
"[5, 200, 6, 2]",6.57927939,2060.0
"[5, 174, 14, 2]",6.6158065,1880.0
"[5, 174, 6, 2]",6.60124474,1800.0
"[5, 147, 20, 2]",6.65670733,1670.0
"[5, 150, 14, 2]",6.65672384,1640.0
"[5, 143, 6, 1]",6.67333546,1510.0
"[5, 143, 6, 2]",6.66518736,1490.0
"[5, 136, 6, 2]",6.68751989,1420.0
"[5, 115, 24, 1]",6.71963453,1410.0
"[5, 115, 24, 2]",6.72812226,1390.0
"[5, 102, 14, 2]",6.78559106,1160.0
"[5, 86, 13, 2]",6.8232626,990.0
"[5, 86, 6, 2]",6.8487867,920.0
"[5, 85, 6, 2]",6.7908382,910.0
"[5, 69, 14, 2]",6.95702389,830.0
"[5, 67, 14, 2]",6.91407101,810.0
"[5, 46, 14, 2]",7.10207372,600.0
"[5, 46, 13, 2]",7.26502289,590.0
"[5, 36, 13, 2]",7.38671974,490.0
"[5, 22, 13, 2]",7.76777732,350.0
"[5, 11, 13, 2]",8.04753067,240.0
"[5, 5, 13, 2]",8.2496574,180.0
"[5, 5, 6, 2]",9.02112797,110.0
